k,time,angle
1,111,0
2,112,0
3,112,0
4,112,0
5,112,0
6,112,0
7,112,0
8,112,0
9,112,0
10,112,0
11,112,0
12,112,0
13,112,0
14,112,0
15,112,0
16,112,0
17,112,0
18,112,0
19,112,0
20,112,0
21,113,0
22,113,0
23,226,0
24,226,0
25,226,0
26,226,0
27,226,0
28,226,0
29,226,0
30,226,0.00549316
31,226,0.00549316
32,226,0.00549316
33,226,0.00549316
34,227,0.00549316
35,227,0.00549316
36,227,0.00549316
37,227,0.00549316
38,227,0.00549316
39,227,0.00549316
40,227,0.00549316
41,227,0.00549316
42,227,0.00549316
43,227,0.00549316
44,227,0.00549316
45,229,0.00549316
46,337,0.00549316
47,338,0.00549316
48,338,0.00549316
49,338,0.00549316
50,338,0.00549316
51,338,0.00549316
52,338,0.00549316
53,338,0.00549316
54,338,0.00549316
55,338,0.00549316
56,338,0.00549316
57,338,0.00549316
58,338,0.00549316
59,338,0.00549316
60,338,0.00549316
61,338,0.00549316
62,338,0.00549316
63,338,0.00549316
64,338,0.00549316
65,338,0.00549316
66,338,0.00549316
67,338,0.00549316
68,338,0.00549316
69,451,0.00549316
70,451,0.00549316
71,451,0.00549316
72,451,0.00549316
73,451,0.00549316
74,451,0.00549316
75,451,0.00549316
76,451,0.00549316
77,451,0.00549316
78,451,0.00549316
79,451,0.00549316
80,451,0.00549316
81,451,0.00549316
82,451,0.00549316
83,451,0.00549316
84,451,0.00549316
85,451,0.00549316
86,451,0.00549316
87,451,0.00549316
88,451,0.00549316
89,451,0.00549316
90,451,0.00549316
91,565,0.00549316
92,565,0.00549316
93,565,0.00549316
94,565,0.00549316
95,565,0.00549316
96,565,0.00549316
97,565,0.00549316
98,565,0.00549316
99,566,0.00549316
100,566,0.00549316
101,566,0.00549316
102,566,0.00549316
103,566,0.00549316
104,566,0.00549316
105,566,0.00549316
106,566,0.00549316
107,566,0.00549316
108,566,0.0219727
109,566,0.032959
110,566,0.0439453
111,566,0.0604248
112,566,0.0878906
113,566,0.109863
114,680,0.137329
115,681,0.159302
116,681,0.192261
117,681,0.219727
118,681,0.247192
119,681,0.274658
120,681,0.296631
121,681,0.324097
122,681,0.346069
123,681,0.368042
124,681,0.384521
125,681,0.406494
126,681,0.43396
127,681,0.455933
128,681,0.477905
129,681,0.499878
130,681,0.527344
131,681,0.549316
132,681,0.571289
133,681,0.593262
134,681,0.615234
135,681,0.637207
136,681,0.664673
137,792,0.686646
138,792,0.708618
139,792,0.730591
140,792,0.752563
141,792,0.769043
142,792,0.791016
143,792,0.807495
144,792,0.829468
145,792,0.845947
146,792,0.86792
147,792,0.884399
148,792,0.900879
149,792,0.922852
150,792,0.939331
151,792,0.955811
152,792,0.97229
153,792,0.98877
154,792,1.00525
155,792,1.01624
156,792,1.03821
157,792,1.05469
158,792,1.07117
159,792,1.08765
160,905,1.10413
161,905,1.1261
162,905,1.14258
163,905,1.16455
