k,time,angle
1,21,0
2,21,0
3,21,0
4,21,0
5,21,0
6,21,0
7,21,0
8,21,0
9,21,0
10,21,0
11,21,0
12,22,0
13,22,0
14,22,0
15,22,0
16,22,0
17,22,0
18,22,0
19,22,0
20,22,0
21,22,0
22,22,0
23,135,0
24,135,0
25,136,0
26,136,0
27,136,0
28,136,0
29,136,0
30,136,0
31,136,0
32,136,0
33,136,0
34,136,0
35,136,0
36,136,0
37,136,0
38,136,0
39,136,0
40,136,0
41,136,0
42,136,0
43,136,0
44,136,0
45,136,0
46,250,0
47,250,0
48,250,0
49,250,-0.00549316
50,250,0
51,251,0
52,251,0
53,251,0
54,251,0
55,251,0
56,251,0
57,251,0
58,251,0
59,251,0
60,252,0
61,252,0
62,252,0
63,252,0
64,252,0
65,252,0
66,252,0
67,252,0
68,252,-0.00549316
69,362,-0.00549316
70,362,-0.00549316
71,362,0
72,362,0
73,362,0
74,362,0
75,362,0
76,362,0
77,362,0
78,362,0
79,362,0
80,362,0
81,362,0
82,362,0
83,362,0
84,362,0
85,362,0
86,362,0
87,362,0
88,362,0
89,362,0
90,362,0
91,362,0
92,475,0
93,475,0
94,475,0
95,475,0
96,475,0
97,475,0
98,475,0
99,475,0
100,475,0
101,475,0
102,475,0
103,475,0
104,475,0
105,475,0
106,475,0
107,475,0
108,475,0
109,475,0
110,475,0
111,475,0
112,475,0
113,475,0
114,589,0
115,590,0
116,590,0
117,590,0
118,590,0
119,590,0
120,590,0
121,590,0
122,590,0
123,590,0
124,590,0
125,590,0
126,590,0.115356
127,590,0.230713
128,590,0.346069
129,590,0.461426
130,590,0.670166
131,590,0.878906
132,590,1.08765
133,590,1.29639
134,590,1.49963
135,590,1.70837
136,590,1.91162
137,701,2.12036
138,701,2.3291
139,701,2.53235
140,701,2.74109
141,701,2.94434
142,701,3.16406
143,701,3.38379
144,701,3.59802
145,701,3.81775
146,701,4.04297
147,701,4.27368
148,701,4.50439
149,701,4.72961
150,701,4.96582
151,701,5.19653
152,702,5.42725
153,702,5.65247
154,702,5.88318
155,702,6.11389
156,702,6.3446
157,702,6.57532
158,702,6.79504
159,702,7.01477
160,814,7.2345
161,814,7.45422
162,814,7.66846
163,814,7.8772
164,814,8.08594
165,814,8.28918
166,814,8.49243
167,814,8.69019
168,814,8.88794
169,814,9.0802
170,814,9.26147
171,814,9.43726
172,814,9.61853
173,815,9.79431
174,815,9.95911
175,815,10.1239
176,815,10.2832
177,815,10.448
178,815,10.5963
179,815,10.7501
180,815,10.8984
181,815,11.0522
182,929,11.1951
183,929,11.3379
184,929,11.4807
185,929,11.6235
186,929,11.7609
187,929,11.8982
188,929,12.0355
189,929,12.1729
190,929,12.3102
191,929,12.4475
192,929,12.5903
193,929,12.7222
194,929,12.865
195,929,13.0078
196,929,13.1451
197,929,13.2825
198,929,13.4253
199,929,13.5681
200,930,13.7054
201,930,13.8483
202,930,13.9801
203,930,14.1174
204,930,14.2493
205,1044,14.3811
206,1044,14.5074
207,1044,14.6338
208,1044,14.7546
209,1044,14.881
210,1044,15.0018
211,1044,15.1227
212,1044,15.2435
213,1044,15.3589
214,1044,15.4688
215,1044,15.5731
216,1044,15.683
217,1044,15.7874
218,1044,15.8862
219,1044,15.9851
220,1044,16.0785
221,1044,16.1774
222,1044,16.2708
223,1044,16.3641
224,1044,16.452
225,1044,16.5454
226,1044,16.6333
227,1044,16.7157
228,1154,16.8036
229,1154,16.886
230,1154,16.9629
231,1154,17.0398
232,1154,17.1112
233,1154,17.1881
234,1154,17.2595
235,1154,17.3309
236,1154,17.4023
237,1154,17.4738
238,1154,17.5287
239,1154,17.5836
240,1154,17.6385
241,1154,17.6935
242,1154,17.7429
243,1154,17.7924
244,1154,17.8363
245,1154,17.8857
246,1154,17.9297
247,1154,17.9736
248,1154,18.0176
249,1154,18.056
250,1268,18.1
251,1269,18.1384
252,1269,18.1769
253,1269,18.2153
254,1269,18.2373
255,1269,18.2593
256,1269,18.2867
257,1269,18.3087
258,1269,18.3307
259,1269,18.3527
260,1269,18.3691
261,1269,18.3911
262,1269,18.4021
263,1269,18.4076
264,1269,18.4186
265,1269,18.4186
266,1269,18.4241
267,1269,18.4241
268,1269,18.4241
269,1269,18.4241
270,1269,18.4296
271,1269,18.4241
272,1269,18.4241
273,1383,18.4186
274,1383,18.4131
275,1383,18.4021
276,1383,18.3966
277,1383,18.3801
278,1383,18.3691
279,1383,18.3527
280,1383,18.3417
281,1383,18.3197
282,1383,18.2977
283,1384,18.2758
284,1384,18.2483
285,1384,18.2208
286,1384,18.1934
287,1384,18.1659
288,1384,18.1384
289,1384,18.1055
290,1384,18.067
291,1384,18.0341
292,1384,17.9956
293,1384,17.9626
294,1384,17.9242
295,1384,17.8857
296,1495,17.8473
297,1495,17.8088
298,1495,17.7704
299,1495,17.7319
300,1495,17.6935
301,1495,17.655
302,1495,17.6111
303,1495,17.5726
304,1495,17.5342
305,1495,17.4847
306,1495,17.4408
307,1495,17.3969
308,1495,17.3474
309,1495,17.2925
310,1495,17.2321
311,1495,17.1716
312,1495,17.1167
313,1495,17.0618
314,1495,17.0068
315,1495,16.9519
316,1495,16.897
317,1495,16.842
318,1495,16.7816
319,1608,16.7212
320,1608,16.6608
321,1608,16.5948
322,1608,16.5344
323,1608,16.4685
324,1608,16.4026
325,1608,16.2708
326,1608,16.1389
327,1608,16.0016
328,1608,15.8698
329,1608,15.7104
330,1608,15.5566
331,1608,15.4083
332,1608,15.2545
333,1608,15.1007
334,1608,14.9469
335,1608,14.7931
336,1608,14.6393
337,1608,14.4855
338,1608,14.3317
339,1608,14.1779
340,1608,14.0295
341,1723,13.8702
342,1723,13.7164
343,1723,13.5626
344,1723,13.4088
345,1723,13.2605
346,1723,13.1067
347,1723,12.9584
348,1723,12.8046
349,1723,12.6562
350,1723,12.5024
351,1723,12.3541
352,1723,12.2058
353,1723,12.0575
354,1723,11.9037
355,1723,11.7554
356,1723,11.6071
357,1723,11.4587
358,1723,11.3104
359,1723,11.1676
360,1723,11.0193
361,1723,10.871
362,1723,10.7227
363,1723,10.5743
364,1834,10.426
365,1834,10.2832
366,1834,10.1349
367,1834,9.99207
368,1834,9.84375
369,1834,9.70093
370,1834,9.55261
371,1834,9.40979
372,1834,9.26697
373,1834,9.12415
374,1834,8.97583
375,1834,8.83301
376,1834,8.69019
377,1834,8.54736
378,1834,8.40454
379,1834,8.26721
380,1834,8.12439
381,1834,7.98157
382,1834,7.84424
383,1834,7.70142
384,1834,7.55859
385,1834,7.42126
386,1834,7.28394
387,1947,7.14661
388,1947,7.00928
389,1947,6.86646
390,1947,6.72913
391,1947,6.5918
392,1947,6.45996
393,1947,6.32263
394,1947,6.1853
395,1947,6.04797
396,1947,5.91064
397,1947,5.77881
398,1947,5.64148
399,1947,5.50415
400,1948,5.37231
401,1948,5.24048
402,1948,5.10315
403,1948,4.97131
404,1948,4.83948
405,1948,4.70215
406,1948,4.57031
407,1948,4.43848
408,1948,4.30664
